Delay	Frequency
0.01	24
0.02	15
0.03	6
0.04	4
0.05	2
0.06	1
0.07	1
0.08	1
0.09	1
0.1	1
0.11	3
0.12	3
0.13	2
0.14	1
0.16	3
0.17	2
0.18	2
0.21	1
0.24	1
0.25	1
0.29	1
0.3	1
0.31	1
0.35	1
0.49	1
0.62	1
0.68	1
0.76	1
1.01	1
1.17	1
1.22	1
1.25	1
1.27	1
1.29	1
1.31	2
1.32	1
1.33	1
1.34	1
1.35	3
1.36	5
1.37	7
1.38	3
1.39	2
1.4	4
1.41	1
1.42	5
1.43	3
1.44	5
1.45	5
1.46	12
1.47	7
1.48	8
1.49	4
1.5	15
1.51	12
1.52	6
1.53	19
1.54	15
1.55	11
1.56	16
1.57	14
1.58	11
1.59	17
1.6	26
1.61	19
1.62	12
1.63	20
1.64	21
1.65	21
1.66	25
1.67	36
1.68	31
1.69	39
1.7	36
1.71	48
1.72	56
1.73	71
1.74	62
1.75	105
1.76	96
1.77	113
1.78	142
1.79	167
1.8	179
1.81	194
1.82	243
1.83	235
1.84	272
1.85	278
1.86	244
1.87	226
1.88	214
1.89	246
1.9	202
1.91	188
1.92	164
1.93	150
1.94	137
1.95	148
1.96	151
1.97	147
1.98	191
1.99	177
10.1	1
10.46	1
11.54	1
12.62	1
15.49	1
2	210
2.01	165
2.02	158
2.03	138
2.04	141
2.05	114
2.06	113
2.07	86
2.08	83
2.09	57
2.1	53
2.11	29
2.12	36
2.13	20
2.14	19
2.15	28
2.16	7
2.17	13
2.18	13
2.19	11
2.2	7
2.21	7
2.22	6
2.23	7
2.24	5
2.25	8
2.26	4
2.27	4
2.28	2
2.29	1
2.3	5
2.31	1
2.33	1
2.34	1
2.35	2
2.37	2
2.38	1
2.39	4
2.4	1
2.42	2
2.43	4
2.44	2
2.45	3
2.46	3
2.47	1
2.48	1
2.49	1
2.5	1
2.52	1
2.53	1
2.54	1
2.57	1
2.59	1
2.63	1
2.65	1
2.68	1
2.7	1
2.8	1
2.81	1
3.01	1
3.04	1
3.05	1
3.11	1
3.12	1
3.15	1
3.2	2
3.22	1
3.23	3
3.24	2
3.27	3
3.28	2
3.29	4
3.3	4
3.31	2
3.32	2
3.33	1
3.34	1
3.35	2
3.36	3
3.37	4
3.38	5
3.39	4
3.4	4
3.41	4
3.42	7
3.43	12
3.44	9
3.45	11
3.46	8
3.47	11
3.48	10
3.49	8
3.5	10
3.51	11
3.52	9
3.53	14
3.54	17
3.55	7
3.56	15
3.57	19
3.58	15
3.59	19
3.6	26
3.61	23
3.62	15
3.63	32
3.64	27
3.65	37
3.66	29
3.67	49
3.68	33
3.69	47
3.7	51
3.71	71
3.72	78
3.73	89
3.74	83
3.75	131
3.76	112
3.77	178
3.78	146
3.79	211
3.8	202
3.81	273
3.82	223
3.83	327
3.84	266
3.85	326
3.86	253
3.87	298
3.88	320
3.89	209
3.9	277
3.91	201
3.92	229
3.93	180
3.94	251
3.95	192
3.96	253
3.97	203
3.98	281
3.99	197
4	279
4.01	214
4.02	206
4.03	228
4.04	227
4.05	216
4.06	196
4.07	241
4.08	291
4.09	263
4.1	218
4.11	248
4.12	257
4.13	239
4.14	243
4.15	210
4.16	205
4.17	224
4.18	193
4.19	144
4.2	138
4.21	130
4.22	113
4.23	64
4.24	73
4.25	73
4.26	60
4.27	42
4.28	40
4.29	50
4.3	30
4.31	31
4.32	24
4.33	18
4.34	29
4.35	17
4.36	19
4.37	9
4.38	17
4.39	13
4.4	12
4.41	11
4.42	9
4.43	10
4.44	7
