TargetPos_Z	IsShowPath	IsRandomSpeed	TargetAngularSpeed	Points	Distance	Angle	IntPoints	Lag	Index_Speed	Index_Lag	LaserDotTarget	TargetSpeed	PreviousDirDot	PointsThisRun	PointsTotal	Frames	Date
-7.49	0	0	36.2549	1.98811	0.470577	6.77113	1.76538	1	-1	95	0.716696	8	-0.0974895	909	909	520	2022-12-2-9:4:12
-7.49	1	0	34.7761	2.60107	0.588206	6.15916	2.32171	2	-1	94	0.730884	8	-0.637168	1188	2097	516	2022-12-2-9:4:21
-7.49	1	0	1.74667	10.1909	0.0898955	0.668152	9.92381	8	-1	93	0.502264	0.25	0.491434	5199	7296	525	2022-12-2-9:4:31
-7.49	1	0	22.6156	7.23742	0.411036	2.69846	6.72692	2	-1	92	0.780383	4	-0.0847771	3488	10784	520	2022-12-2-9:4:38
-7.49	1	0	6.65833	9.70135	0.144295	1.01356	9.39539	0	-1	91	0.80138	1	0.367077	4884	15668	521	2022-12-2-9:4:48
-7.49	1	0	35.3894	4.82824	0.403815	4.5907	4.46538	4	-1	90	0.801477	8	-0.203277	2311	17979	520	2022-12-2-9:5:9
-7.49	1	0	12.1395	9.00491	0.221676	1.46672	8.525	4	-1	89	0.805368	2	-0.0636123	4423	22402	520	2022-12-2-9:5:17
-7.49	0	0	24.3363	7.06792	0.438147	2.88016	6.57935	1	-1	88	0.747683	4	-0.0748719	3430	25832	523	2022-12-2-9:5:25
-7.49	0	0	1.51287	10.0537	0.105148	0.776763	9.83877	64	-1	87	0.679665	0.25	0.0880401	5116	30948	521	2022-12-2-9:5:41
-7.49	1	0	3.37007	9.4238	0.175133	1.27643	8.96571	16	-1	86	0.794098	0.5	0.482532	4696	35644	525	2022-12-2-9:5:48
-7.49	1	0	1.72922	10.3465	0.0726065	0.534247	10.1555	0	-1	85	0.618989	0.25	-0.0559257	5280	40924	521	2022-12-2-9:5:57
-7.49	0	0	22.6625	1.48646	0.372971	11.6889	1.29672	32	-1	84	0.36864	4	-0.228721	662	41586	519	2022-12-2-9:6:8
-7.49	1	0	6.8995	9.88113	0.124319	0.913762	9.5643	4	-1	83	0.924907	1	0.084195	4972	46558	521	2022-12-2-9:6:18
-7.49	0	0	6.20159	7.12994	0.430007	2.97963	6.64818	32	-1	82	0.335035	1	0.254358	3466	50024	523	2022-12-2-9:6:30
-7.49	1	0	23.3345	7.21745	0.422154	2.69905	6.7433	8	-1	81	0.844068	4	-0.538457	3510	53534	522	2022-12-2-9:6:39
-7.49	1	0	3.42747	9.61017	0.154425	1.1289	9.15254	2	-1	80	0.539335	0.5	0.00822504	4849	58383	531	2022-12-2-9:6:50
-7.49	1	0	1.74895	10.0857	0.101589	0.752027	9.70833	2	-1	79	0.371949	0.25	-0.119681	5115	63498	528	2022-12-2-9:7:2
-7.49	0	0	34.6676	0.54472	0.147145	21.568	0.476099	32	-1	78	0.216741	8	-0.768462	240	63738	523	2022-12-2-9:7:24
-7.49	0	0	1.58639	9.92109	0.119879	0.858723	9.48868	32	-1	77	0.517218	0.25	0.0386379	5019	68757	530	2022-12-2-9:7:37
-7.49	0	0	24.2592	6.95029	0.449968	3.06477	6.49143	0	-1	76	0.703366	4	-0.533759	3397	72154	525	2022-12-2-9:7:44
-7.49	0	0	3.47747	10.1556	0.0938271	0.685636	9.85579	0	-1	75	0.646691	0.5	-0.362896	5183	77337	527	2022-12-2-9:7:52
-7.49	1	0	12.1028	8.54709	0.272545	1.75473	8.12053	1	-1	74	0.83374	2	0.0608098	4301	81638	531	2022-12-2-9:8:1
-7.49	0	0	3.26	10.2364	0.0848452	0.586173	10.0301	4	-1	73	0.853822	0.5	0.302312	5325	86963	532	2022-12-2-9:8:9
-7.49	0	0	37.0227	3.56247	0.439344	5.96639	3.23574	4	-1	72	0.575659	8	-0.516146	1692	88655	526	2022-12-2-9:8:16
-7.49	1	0	11.9341	1.4917	0.287979	17.1185	1.36053	64	-1	71	-0.310804	2	-0.605122	707	89362	527	2022-12-2-9:8:36
